user_id,smoother,amplitude,duration_min,peak_incoh_ratio,step_max,confidence
U000,aaps_exponential,47.0,50.0,0.9333333333333333,47.0,medium
U000,aaps_exponential,101.0,105.0,0.921875,30.0,low
U000,aaps_exponential,61.0,35.0,1.0,34.0,medium
U000,aaps_exponential,37.0,65.0,1.0,18.0,medium
U000,aaps_exponential,51.0,100.0,0.9655172413793104,20.0,low
U000,aaps_exponential,19.0,45.0,0.975,12.0,medium
U000,aaps_exponential,15.0,25.0,1.0,10.0,medium
U000,aaps_exponential,39.0,40.0,0.8333333333333334,16.0,low
U000,aaps_exponential,69.0,100.0,0.9878048780487805,28.0,medium
U000,aaps_exponential,38.0,60.0,0.9523809523809523,15.0,low
U000,aaps_exponential,23.0,30.0,0.8857142857142857,10.0,low
U000,aaps_exponential,45.0,100.0,0.9166666666666666,14.0,medium
U000,aaps_exponential,21.0,75.0,1.0,13.0,medium
U000,aaps_exponential,41.0,30.0,0.9896907216494846,16.0,low
U000,aaps_exponential,39.0,35.0,0.5151515151515151,13.0,low
U000,aaps_exponential,33.0,50.0,0.9772727272727273,17.0,high
U000,aaps_exponential,18.0,30.0,1.0,9.0,medium
U000,aaps_exponential,36.0,35.0,0.9090909090909091,12.0,low
U000,aaps_exponential,58.0,65.0,0.9821428571428571,16.0,low
U000,aaps_exponential,28.0,25.0,0.9714285714285714,15.0,low
U000,aaps_exponential,35.0,60.0,0.9803921568627451,16.0,medium
U000,aaps_exponential,35.0,45.0,0.7948717948717948,14.0,medium
U000,aaps_exponential,66.0,85.0,0.9285714285714286,25.0,medium
U000,aaps_exponential,33.0,45.0,0.975609756097561,11.0,low
U000,aaps_exponential,15.0,25.0,0.9230769230769231,13.0,low
U000,aaps_exponential,31.0,55.0,0.8936170212765957,11.0,low
U000,aaps_exponential,66.0,25.0,0.47191011235955055,66.0,medium
U000,aaps_exponential,36.0,75.0,0.8787878787878788,12.0,medium
U000,aaps_exponential,25.0,25.0,0.8484848484848485,11.0,medium
U000,aaps_exponential,28.0,25.0,0.574468085106383,17.0,low
U000,aaps_exponential,15.0,25.0,0.9166666666666666,9.0,low
U000,aaps_exponential,21.0,25.0,0.6333333333333333,13.0,low
U000,aaps_exponential,24.0,35.0,0.9878048780487805,11.0,low
U000,aaps_exponential,69.0,60.0,0.9811320754716981,37.0,medium
U000,aaps_exponential,63.0,55.0,0.8695652173913043,13.0,medium
U000,aaps_exponential,24.0,50.0,0.9310344827586207,18.0,low
U000,aaps_exponential,43.0,45.0,1.0,17.0,medium
U000,aaps_exponential,46.0,45.0,0.46938775510204084,13.0,low
U000,aaps_exponential,37.0,35.0,0.8208955223880597,25.0,low
U000,aaps_exponential,28.0,60.0,0.9387755102040817,13.0,low
U000,aaps_exponential,25.0,30.0,0.8275862068965517,10.0,low
U000,aaps_exponential,18.0,50.0,0.92,9.0,low
U000,aaps_exponential,18.0,25.0,0.8823529411764706,14.0,medium
U000,aaps_exponential,16.0,30.0,0.9230769230769231,11.0,low
U000,aaps_exponential,73.0,65.0,0.8888888888888888,25.0,medium
U000,aaps_exponential,19.0,25.0,1.0,11.0,low
U000,aaps_exponential,19.0,30.0,0.8571428571428571,11.0,low
U000,aaps_exponential,19.0,25.0,0.9024390243902439,6.0,low
U000,aaps_exponential,18.0,25.0,0.84375,8.0,low
U000,aaps_exponential,29.0,50.0,1.0,21.0,low
U000,aaps_exponential,28.0,30.0,0.96,12.0,low
U000,aaps_exponential,35.0,45.0,1.0,24.0,low
U000,aaps_exponential,35.0,30.0,0.5111111111111111,13.0,low
U000,aaps_exponential,69.0,60.0,0.9523809523809523,57.0,medium
U000,aaps_exponential,48.0,55.0,0.9629629629629629,30.0,medium
U000,aaps_exponential,25.0,25.0,0.9152542372881356,15.0,low
U000,aaps_exponential,24.0,50.0,0.9767441860465116,12.0,low
U000,aaps_exponential,21.0,30.0,0.7727272727272727,10.0,low
U000,aaps_exponential,16.0,25.0,0.9523809523809523,8.0,low
U000,aaps_exponential,50.0,40.0,0.875,29.0,low
U000,aaps_exponential,19.0,40.0,0.8333333333333334,10.0,low
U000,aaps_exponential,42.0,60.0,0.9534883720930233,16.0,low
U000,aaps_exponential,28.0,50.0,0.9787234042553191,10.0,low
U000,aaps_exponential,29.0,30.0,0.8333333333333334,12.0,low
U000,aaps_exponential,16.0,30.0,0.75,9.0,low
U000,aaps_exponential,30.0,60.0,1.0,13.0,medium
U000,aaps_exponential,18.0,25.0,1.0,10.0,low
U000,aaps_exponential,16.0,25.0,0.9565217391304348,12.0,low
U000,aaps_exponential,16.0,25.0,0.9583333333333334,6.0,low
U000,aaps_exponential,21.0,25.0,1.0,10.0,low
U000,aaps_exponential,25.0,55.0,0.9459459459459459,15.0,low
U000,aaps_exponential,37.0,50.0,1.0,9.0,low
U000,aaps_exponential,55.0,50.0,0.9,23.0,low
U000,trio_sgolay,22.0,25.0,0.9166666666666666,11.0,low
U000,trio_sgolay,32.0,50.0,0.9230769230769231,18.0,low
U000,trio_sgolay,47.0,50.0,0.9333333333333333,47.0,medium
U000,trio_sgolay,51.0,100.0,0.9655172413793104,20.0,low
U000,trio_sgolay,41.0,30.0,0.9896907216494846,16.0,low
