user_id,table,algorithm,step,median_abs_delta,p25_abs_delta,p75_abs_delta,p95_abs_delta,frac_changed,n
U000,oref_v5,aaps_average,filter,0.0,0.0,0.0,0.0,0.0,25247
U000,oref_v5,aaps_exponential,filter,2.0,1.0,4.0,10.0,0.8569731057155305,25247
U000,oref_v5,ukf,predict,3.471678351651235,1.4675008543376862,6.977472668986252,16.968409121341097,1.0,25236
U000,oref_v5,ukf,update,2.2702035355730317,0.9677378198677324,4.565837531508329,10.81386799500752,1.0,25236
U000,oref_v5,ukf,rts,0.0,0.0,0.0,0.0,0.0024964336661911554,25236
U000,oref_v5,ukf,update@outlier,44.443759242224985,23.516083853947034,87.9334394096118,114.64604557278827,1.0,42
U002,oref_v5,aaps_average,filter,0.0,0.0,0.0,0.0,0.0009510489510489511,17875
U002,oref_v5,aaps_exponential,filter,2.0,1.0,4.0,9.0,0.8448111888111888,17875
U002,oref_v5,ukf,predict,3.0731142978771686,1.3133701029566964,6.151409760766114,14.134726163619092,0.9999438801279533,17819
U002,oref_v5,ukf,update,2.0259415400208525,0.8676295879650766,4.063127631462947,9.370769796464353,0.9995510410236265,17819
U002,oref_v5,ukf,rts,0.0,0.0,0.0,0.0,0.002805993602334587,17819
U002,oref_v5,ukf,update@outlier,24.240108286971292,16.49354870315375,62.85108328624953,116.07689145063277,1.0,21
U005,oref_v5,aaps_average,filter,0.0,0.0,0.0,0.0,8.231130134167421e-05,24298
U005,oref_v5,aaps_exponential,filter,1.0,1.0,3.0,8.0,0.7685817762778829,24298
U005,oref_v5,ukf,predict,2.4307611299750533,0.995092320773665,5.11774264299379,12.45510990809889,1.0,24279
U005,oref_v5,ukf,update,1.615528366162522,0.660178148082224,3.404812610387026,8.53234620562471,0.9999176242843609,24279
U005,oref_v5,ukf,rts,0.0,0.0,0.0,0.0,8.237571563902961e-05,24279
U005,oref_v5,ukf,update@outlier,54.96888255650421,32.662527616969605,68.70541651176532,82.06511654043311,1.0,12
U029,oref_v6,aaps_average,filter,0.0,0.0,0.0,0.0,0.0,15695
U029,oref_v6,aaps_exponential,filter,1.0,0.0,3.0,6.0,0.741573749601784,15695
U029,oref_v6,ukf,predict,1.8534736407436867,0.7265765084648024,3.9365654053905246,10.037634953249835,1.0,15666
U029,oref_v6,ukf,update,1.2370449988503651,0.4845722985908978,2.634935380638126,6.722318559217172,0.9999361674964892,15666
U029,oref_v6,ukf,rts,0.0,0.0,0.0,0.0,6.383250351078769e-05,15666
U029,oref_v6,ukf,update@outlier,53.17676892498554,39.135071871389925,80.24222352334787,126.12491096058983,1.0,17
U031,oref_v6,aaps_average,filter,0.0,0.0,0.0,0.0,8.055745760663793e-05,24827
U031,oref_v6,aaps_exponential,filter,1.4083836551794207,0.5959573193987424,2.64704669999999,5.705895725000005,0.9823579167841463,24827
U031,oref_v6,ukf,predict,2.127175429314505,0.9347205608497795,4.150033414242561,9.139314183934474,1.0,24810
U031,oref_v6,ukf,update,1.4113144983779904,0.6209242654004115,2.7574562436893473,6.065862135276271,0.999919387343813,24810
U031,oref_v6,ukf,rts,0.0,0.0,0.0,0.0,0.0015316404675534058,24810
