algorithm,freq_cph,median_gain
aaps_exponential,0.42217735699918707,1.0147115554113113
aaps_exponential,0.4892506356483851,1.0296865119506209
aaps_exponential,0.5669801577795415,1.04908869492404
aaps_exponential,0.6570589303163319,1.055882415114725
aaps_exponential,0.7614489360601412,1.0637425785205956
aaps_exponential,0.8824238671377347,1.1215478122099443
aaps_exponential,1.0226186477103607,1.156713716959061
aaps_exponential,1.185086824585785,1.2168510517028728
aaps_exponential,1.3733670757435672,1.1426136147746668
aaps_exponential,1.5915602853788249,1.0906395620606963
aaps_exponential,1.8444188642163835,0.882606642592993
aaps_exponential,2.1374502605583268,0.8544765285308684
aaps_exponential,2.477036916612703,0.6067279426572417
aaps_exponential,2.870575282841648,0.7935075437099949
aaps_exponential,3.3266369181649966,0.6340430577410142
aaps_exponential,3.855155184901931,0.7453347686313909
aaps_exponential,4.467641604805606,0.711931901219149
aaps_exponential,5.177436588586448,0.7456850711414797
aaps_exponential,6.0,0.894021739130435
ukf,0.001,0.9996401098785687
ukf,0.0011588746472002932,0.9991850864907788
ukf,0.0013429904479236039,0.9999397656387731
ukf,0.0015563575815308302,1.0019754665326255
ukf,0.0018036233432140421,1.0011753350993051
ukf,0.002090173365549384,0.999246829190175
ukf,0.002422248921588492,0.9983259364909831
ukf,0.002807082864437154,0.9991691238722625
ukf,0.0032530571641865955,0.9993419771120896
ukf,0.0037698854734691265,0.9993411468956875
ukf,0.0043688246980520444,0.9980922328535272
ukf,0.005062920180634985,0.9991159753920521
ukf,0.0058672898381366126,1.0009386192152827
ukf,0.006799453441192432,1.0007447264981768
ukf,0.007879714207816699,1.000853195490194
ukf,0.009131601022622714,1.0006183912913251
ukf,0.010582380913465732,0.9998191658280474
ukf,0.012263652947631718,1.0019222671834822
ukf,0.014212036483073542,1.0000756536713977
ukf,0.01646996876531954,1.0022715646814955
ukf,0.019086629242309527,1.0009297364452896
ukf,0.02211901072942425,1.0006560001263056
ukf,0.025633160755481013,1.0013904092134027
ukf,0.02970562012713646,1.0009468786068816
ukf,0.03442509004470119,0.9984976326065441
ukf,0.03989436408039142,1.000501469730065
ukf,0.04623256709894365,1.0016045031892638
ukf,0.053577749885952174,1.000830920141659
ukf,0.06208989599686837,1.0008711972199948
ukf,0.07195440631807372,1.0003127163017869
ukf,0.08338613723636419,1.0033068183411609
ukf,0.09663408037118677,1.0042580388189908
ukf,0.11198678579768384,1.000642341467955
ukf,0.12977864688238566,1.0032906353321196
ukf,0.1503971836199561,1.0015889302508258
ukf,0.17429148310749434,1.0089122885198791
ukf,0.20198198099621337,1.0042942764279545
ukf,0.23407179696780284,1.006264517807111
ukf,0.2712598711306011,1.0114593282863742
ukf,0.3143561874560724,1.0129004417582934
ukf,0.3642994158333851,1.0074603734649106
ukf,0.42217735699918707,1.0329883126646822
ukf,0.4892506356483851,1.0222842948334285
ukf,0.5669801577795415,1.055469129547529
ukf,0.6570589303163319,1.032433694948502
ukf,0.7614489360601412,1.0464564306608597
ukf,0.8824238671377347,1.0833780368512824
ukf,1.0226186477103607,1.033790147044545
ukf,1.185086824585785,1.0261078050014352
ukf,1.3733670757435672,0.9821968508625945
ukf,1.5915602853788249,1.003356995161657
ukf,1.8444188642163835,0.9262983404507972
ukf,2.1374502605583268,0.8393149042465538
ukf,2.477036916612703,0.7956543292253404
ukf,2.870575282841648,0.8097255298360956
ukf,3.3266369181649966,0.7372562031853838
ukf,3.855155184901931,0.8529369145805524
ukf,4.467641604805606,0.46783174270747274
ukf,5.177436588586448,0.6162900382324091
ukf,6.0,0.9419618494224868
